OBJECTID;FORMULARIO;CODIGO_ACCIDENTADO;CODIGO_VICTIMA;CODIGO_VEHICULO;CONDICION;ESTADO;MUERTE_POSTERIOR;FECHA_POSTERIOR_MUERTE;GENERO;FECHA_NACIMIENTO;EDAD;CODIGO;CONDICION_VEHICULO;cod_accidente;OBJECTID-2;FORMULARIO-2;CODIGO_ACCIDENTE;FECHA_OCURRENCIA_ACC;HORA_OCURRENCIA_ACC;ANO_OCURRENCIA_ACC;MES_OCURRENCIA_ACC;DIA_OCURRENCIA_ACC;DIRECCION;GRAVEDAD;CLASE_ACC;LOCALIDAD;MUNICIPIO;FECHA_HORA_ACC;LATITUD;LONGITUD;CIV;PK_CALZADA
146769;726618200;159289;1;;PEATON;HERIDO;N;1/01/1975 1:00;MASCULINO;17/08/1961 19:00;45;28927-;PEATON;28927;;;;;;;;;;;;;;;;;;
146809;726625100;159329;1;;PEATON;HERIDO;N;1/01/1975 1:00;FEMENINO;19/10/1928 19:00;78;28995-;PEATON;28995;;;;;;;;;;;;;;;;;;
146873;727284900;161293;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;5/04/1935 19:00;72;35555-1;PASAJERO;35555;;;;;;;;;;;;;;;;;;
147148;712849200;157384;1;;PEATON;HERIDO;N;1/01/1975 1:00;MASCULINO;14/05/2001 19:00;5;22489-;PEATON;22489;;;;;;;;;;;;;;;;;;
147167;712852100;157403;1;;PASAJERO;HERIDO;N;1/01/1975 1:00;MASCULINO;18/04/1991 19:00;15;22518-;PASAJERO;22518;;;;;;;;;;;;;;;;;;
147315;726646700;159453;1;;PEATON;HERIDO;N;1/01/1975 1:00;FEMENINO;13/04/1986 19:00;21;29209-;PEATON;29209;;;;;;;;;;;;;;;;;;
147500;712241300;155454;2;;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;5/04/1961 19:00;45;16461-;PASAJERO;16461;;;;;;;;;;;;;;;;;;
147501;712241300;155455;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;29/09/1965 19:00;41;16461-1;PASAJERO;16461;;;;;;;;;;;;;;;;;;
147521;712244600;155475;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;16/05/1980 19:00;26;16494-1;PASAJERO;16494;;;;;;;;;;;;;;;;;;
148003;712296300;155578;1;2;PASAJERO;HERIDO;N;1/01/1975 1:00;MASCULINO;3/10/1980 19:00;26;17009-2;PASAJERO;17009;;;;;;;;;;;;;;;;;;
148013;712297600;155588;1;2;PASAJERO;HERIDO;N;1/01/1975 1:00;MASCULINO;8/11/1977 19:00;29;17022-2;PASAJERO;17022;;;;;;;;;;;;;;;;;;
148023;712299300;155598;1;;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;24/03/1977 19:00;29;17038-;PASAJERO;17038;;;;;;;;;;;;;;;;;;
148206;712935900;157682;1;;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;1/08/1981 19:00;25;23353-;PASAJERO;23353;;;;;;;;;;;;;;;;;;
148285;726726800;159663;1;;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;22/07/1990 19:00;16;30007-;PASAJERO;30007;;;;;;;;;;;;;;;;;;
148814;726751500;159813;1;;PASAJERO;HERIDO;N;1/01/1975 1:00;MASCULINO;14/05/1986 19:00;21;30253-;PASAJERO;30253;;;;;;;;;;;;;;;;;;
148952;727484200;161852;1;;PEATON;HERIDO;N;1/01/1975 1:00;FEMENINO;15/08/2000 19:00;7;37543-;PEATON;37543;;;;;;;;;;;;;;;;;;
149064;712380300;155879;1;;PEATON;HERIDO;N;1/01/1975 1:00;FEMENINO;29/01/1975 19:00;32;17842-;PEATON;17842;;;;;;;;;;;;;;;;;;
149211;713035500;157927;1;;PEATON;HERIDO;N;1/01/1975 1:00;FEMENINO;4/11/1950 19:00;56;24348-;PEATON;24348;;;;;;;;;;;;;;;;;;
149243;726813100;159861;1;;PEATON;HERIDO;N;1/01/1975 1:00;FEMENINO;15/12/1993 19:00;13;30866-;PEATON;30866;;;;;;;;;;;;;;;;;;
149247;726814200;159865;1;;PEATON;HERIDO;N;1/01/1975 1:00;FEMENINO;6/04/1970 19:00;37;30877-;PEATON;30877;;;;;;;;;;;;;;;;;;
149264;726819200;159882;2;1;PEATON;HERIDO;N;1/01/1975 1:00;MASCULINO;31/12/1980 19:00;26;30927-1;PEATON;30927;;;;;;;;;;;;;;;;;;
149265;726819200;159883;1;1;PEATON;HERIDO;N;1/01/1975 1:00;MASCULINO;22/07/1972 19:00;34;30927-1;PEATON;30927;;;;;;;;;;;;;;;;;;
149317;726827900;159935;1;;PEATON;HERIDO;N;1/01/1975 1:00;FEMENINO;13/01/1936 19:00;71;31014-;PEATON;31014;;;;;;;;;;;;;;;;;;
149371;727489700;161890;1;;PEATON;HERIDO;N;1/01/1975 1:00;MASCULINO;16/01/1978 19:00;29;37598-;PEATON;37598;;;;;;;;;;;;;;;;;;
149484;712386700;155918;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;9/05/1981 19:00;25;17906-1;PASAJERO;17906;;;;;;;;;;;;;;;;;;
149501;712388800;155935;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;17/03/1947 19:00;59;17927-1;PASAJERO;17927;;;;;;;;;;;;;;;;;;
149679;713051400;158014;1;;PEATON;HERIDO;N;1/01/1975 1:00;FEMENINO;6/01/2003 19:00;4;24507-;PEATON;24507;;;;;;;;;;;;;;;;;;
149747;726834300;159984;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;20/09/1941 19:00;65;31077-1;PASAJERO;31077;;;;;;;;;;;;;;;;;;
149791;726876900;160028;1;;PEATON;MUERTO;;1/01/1975 1:00;MASCULINO;19/05/1952 19:00;55;31494-;PEATON;31494;;;;;;;;;;;;;;;;;;
149822;726881900;160059;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;29/04/1974 19:00;33;31544-1;PASAJERO;31544;;;;;;;;;;;;;;;;;;
